event_id,lat,lon,dt,frp,event_n
2021-06-06_16,37.07223,36.21278,2021-06-06 11:27:00+00:00,7.34,2
2021-06-06_17,37.16447,36.52971,2021-06-06 11:27:00+00:00,9.11,2
2021-06-06_18,36.9184,31.16414,2021-06-06 10:36:00+00:00,5.67,7
2021-06-06_19,37.52044,14.83293,2021-06-06 11:28:00+00:00,7.15,2
2021-06-06_2,61.50947,26.34373,2021-06-06 08:14:00+00:00,40.13,5
2021-06-06_20,38.01778,13.02707,2021-06-06 11:28:00+00:00,8.82,3
2021-06-06_21,40.43863,18.10235,2021-06-06 10:38:00+00:00,5.27,6
2021-06-06_22,52.72609,27.93699,2021-06-06 10:40:00+00:00,6.66,3
2021-06-06_23,53.91145,24.02648,2021-06-06 10:41:00+00:00,12.69,2
2021-06-06_24,54.05346,11.72744,2021-06-06 11:32:00+00:00,10.97,2
2021-06-06_25,61.04902,15.05652,2021-06-06 11:34:00+00:00,8.04,2
2021-06-06_26,37.75,13.75636,2021-06-06 13:08:00+00:00,7.99,2
2021-06-06_27,38.90157,-6.98427,2021-06-06 13:09:00+00:00,15.28,3
2021-06-06_28,51.34367,3.78378,2021-06-06 13:12:00+00:00,13.46,2
2021-06-06_29,57.73039,-3.97513,2021-06-06 13:14:00+00:00,6.74,2
2021-06-06_3,35.80575,45.69134,2021-06-06 09:45:00+00:00,7.34,5
2021-06-06_30,39.55879,47.28813,2021-06-06 08:56:00+00:00,13.04,6
2021-06-06_31,36.56871,46.76595,2021-06-06 10:35:00+00:00,11.58,2
2021-06-06_32,37.55518,37.38235,2021-06-06 10:36:00+00:00,26.76,2
2021-06-06_33,40.14727,44.76514,2021-06-06 10:36:00+00:00,8.14,2
2021-06-06_34,39.30169,22.70545,2021-06-06 10:37:00+00:00,9.38,2
2021-06-06_35,55.15378,21.5506,2021-06-06 10:41:00+00:00,11.11,2
2021-06-06_36,38.89544,-6.35971,2021-06-06 12:19:00+00:00,6.94,2
2021-06-06_37,45.11267,7.71505,2021-06-06 12:19:00+00:00,5.04,2
2021-06-06_38,40.48859,-3.58923,2021-06-06 12:19:00+00:00,7.09,2
2021-06-06_4,37.0238,44.64299,2021-06-06 09:46:00+00:00,6.74,4
2021-06-06_5,37.1474,44.07384,2021-06-06 08:55:00+00:00,7.39,9
2021-06-06_6,35.70154,36.31517,2021-06-06 09:46:00+00:00,5.08,6
2021-06-06_7,37.33009,43.07038,2021-06-06 09:46:00+00:00,6.7,3
2021-06-06_8,36.58372,36.58817,2021-06-06 09:46:00+00:00,7.22,3
2021-06-06_9,36.58895,36.49817,2021-06-06 09:46:00+00:00,5.93,2
2021-06-07_0,59.13122,37.80286,2021-06-07 07:54:00+00:00,9.63,2
2021-06-07_1,61.48621,38.9656,2021-06-07 07:54:00+00:00,7.3,4
2021-06-07_10,39.31464,47.12412,2021-06-07 08:37:00+00:00,10.96,4
2021-06-07_11,39.36082,47.26905,2021-06-07 09:27:00+00:00,11.76,2
2021-06-07_12,39.36406,47.05854,2021-06-07 09:27:00+00:00,7.66,2
2021-06-07_13,39.38899,47.02685,2021-06-07 09:27:00+00:00,7.14,4
2021-06-07_14,39.44111,47.09398,2021-06-07 09:27:00+00:00,10.19,8
2021-06-07_15,37.07647,36.68046,2021-06-07 09:27:00+00:00,20.35,3
2021-06-07_16,37.31989,35.579,2021-06-07 09:28:00+00:00,5.41,2
2021-06-07_17,38.32603,38.03907,2021-06-07 09:28:00+00:00,6.45,2
2021-06-07_18,58.58696,42.16489,2021-06-07 08:42:00+00:00,6.71,2
2021-06-07_19,59.58022,33.57439,2021-06-07 08:43:00+00:00,9.37,3
2021-06-07_2,67.84966,30.1789,2021-06-07 07:06:00+00:00,5.76,19
2021-06-07_20,66.9205,27.5924,2021-06-07 09:36:00+00:00,13.05,8
2021-06-07_21,66.57113,22.90832,2021-06-07 08:45:00+00:00,7.79,5
2021-06-07_22,36.95742,38.87962,2021-06-07 11:08:00+00:00,6.55,4
2021-06-07_23,37.11572,41.68173,2021-06-07 11:08:00+00:00,9.96,2
2021-06-07_24,37.27837,43.19892,2021-06-07 10:16:00+00:00,11.54,6
2021-06-07_25,37.29762,42.71034,2021-06-07 11:08:00+00:00,17.99,2
2021-06-07_26,37.17244,38.86032,2021-06-07 11:08:00+00:00,7.72,2
2021-06-07_27,37.3134,37.01633,2021-06-07 11:08:00+00:00,9.08,2
2021-06-07_28,36.69854,15.03628,2021-06-07 11:09:00+00:00,11.38,2
2021-06-07_29,37.08619,15.27786,2021-06-07 11:09:00+00:00,10.64,3
2021-06-07_3,35.78473,45.78651,2021-06-07 09:26:00+00:00,20.14,5
2021-06-07_30,37.56751,14.23076,2021-06-07 11:09:00+00:00,5.75,2
2021-06-07_31,39.81852,22.48375,2021-06-07 10:18:00+00:00,7.95,4
2021-06-07_32,50.4552,21.88259,2021-06-07 11:12:00+00:00,6.68,2
2021-06-07_33,52.08212,13.58186,2021-06-07 11:13:00+00:00,6.14,2
2021-06-07_34,58.40224,31.82002,2021-06-07 11:14:00+00:00,9.24,3
2021-06-07_35,60.36771,17.22672,2021-06-07 10:24:00+00:00,14.27,5
2021-06-07_36,37.33398,15.0564,2021-06-07 11:58:00+00:00,8.29,3
2021-06-07_37,38.81715,-4.96491,2021-06-07 12:50:00+00:00,8.46,6
2021-06-07_38,55.58614,37.36404,2021-06-07 10:22:00+00:00,9.92,5
2021-06-07_39,36.67732,27.46045,2021-06-07 11:58:00+00:00,8.66,2
2021-06-07_4,37.13708,44.08115,2021-06-07 09:27:00+00:00,5.77,12
2021-06-07_40,37.11447,30.38484,2021-06-07 11:58:00+00:00,9.11,4
2021-06-07_41,43.29366,3.19589,2021-06-07 12:00:00+00:00,8.91,4
2021-06-07_42,51.28765,4.35771,2021-06-07 12:02:00+00:00,5.81,2
2021-06-07_43,51.75092,4.2056,2021-06-07 12:03:00+00:00,6.48,3
2021-06-07_44,52.69902,6.46177,2021-06-07 12:03:00+00:00,71.9,2
2021-06-07_45,52.97373,7.08033,2021-06-07 12:03:00+00:00,31.31,5
2021-06-07_5,37.07594,43.8146,2021-06-07 09:27:00+00:00,7.01,5
2021-06-07_6,37.1278,44.03573,2021-06-07 09:27:00+00:00,6.01,3
2021-06-07_7,37.30194,42.83869,2021-06-07 09:27:00+00:00,6.4,3
2021-06-07_8,37.09827,41.35244,2021-06-07 09:27:00+00:00,9.39,6
2021-06-07_9,36.96954,40.16906,2021-06-07 09:27:00+00:00,13.56,2
2021-06-08_0,37.00119,44.62371,2021-06-08 09:08:00+00:00,8.55,5
2021-06-08_1,37.15437,44.1598,2021-06-08 09:08:00+00:00,6.09,8
2021-06-08_10,35.9046,36.84573,2021-06-08 10:48:00+00:00,14.73,2
2021-06-08_11,36.46814,42.75044,2021-06-08 09:57:00+00:00,6.59,2
2021-06-08_12,36.70671,38.79129,2021-06-08 10:49:00+00:00,20.82,2
2021-06-08_13,36.84844,39.43021,2021-06-08 10:49:00+00:00,104.51,3
2021-06-08_14,39.43514,47.24894,2021-06-08 09:58:00+00:00,10.67,2
2021-06-08_15,50.45516,21.87645,2021-06-08 10:53:00+00:00,14.05,2
2021-06-08_16,50.44469,21.82529,2021-06-08 10:53:00+00:00,7.7,2
2021-06-08_17,50.44424,21.80428,2021-06-08 10:53:00+00:00,17.33,2
2021-06-08_18,60.24169,29.42455,2021-06-08 10:55:00+00:00,5.71,2
2021-06-08_19,65.85374,28.08312,2021-06-08 10:57:00+00:00,17.06,3
2021-06-08_2,36.89603,40.1604,2021-06-08 09:09:00+00:00,13.16,3
2021-06-08_20,36.93554,22.50823,2021-06-08 12:30:00+00:00,7.1,6
2021-06-08_21,37.44696,14.77032,2021-06-08 11:39:00+00:00,7.39,2
2021-06-08_22,36.88664,-2.35609,2021-06-08 12:31:00+00:00,5.12,2
2021-06-08_23,51.98163,4.61635,2021-06-08 12:35:00+00:00,15.58,4
2021-06-08_24,52.02919,4.61183,2021-06-08 12:35:00+00:00,31.18,3
2021-06-08_25,37.11092,-5.6689,2021-06-08 14:12:00+00:00,16.39,3
2021-06-08_26,38.88788,-4.1767,2021-06-08 14:12:00+00:00,201.0,3
2021-06-08_27,38.95038,-6.37437,2021-06-08 13:21:00+00:00,48.97,23
2021-06-08_28,36.26147,36.45406,2021-06-08 09:58:00+00:00,19.88,4
2021-06-08_29,37.14674,36.11649,2021-06-08 09:58:00+00:00,13.21,3
2021-06-08_3,36.92966,40.09827,2021-06-08 09:09:00+00:00,8.99,4
2021-06-08_30,39.27343,46.67485,2021-06-08 09:58:00+00:00,9.66,2
2021-06-08_31,66.08122,22.05403,2021-06-08 10:06:00+00:00,7.14,2
2021-06-08_32,52.04549,33.77353,2021-06-08 11:43:00+00:00,5.63,2
2021-06-08_4,39.36768,47.27501,2021-06-08 09:09:00+00:00,5.29,6
2021-06-08_5,39.25977,46.6849,2021-06-08 09:09:00+00:00,10.32,7
2021-06-08_6,39.42786,47.14397,2021-06-08 09:09:00+00:00,25.58,4
2021-06-08_7,39.54295,47.25844,2021-06-08 09:09:00+00:00,40.77,3
2021-06-08_8,61.06044,42.18429,2021-06-08 08:24:00+00:00,8.93,4
2021-06-08_9,35.77531,36.12072,2021-06-08 09:58:00+00:00,7.32,4
2021-06-09_0,35.8054,45.85386,2021-06-09 08:49:00+00:00,5.96,2
2021-06-09_1,39.24445,46.6981,2021-06-09 08:50:00+00:00,6.19,11
2021-06-09_10,37.00732,39.1208,2021-06-09 09:39:00+00:00,6.03,2
2021-06-09_11,48.02098,21.80072,2021-06-09 10:34:00+00:00,9.22,2
2021-06-09_12,50.30721,21.42288,2021-06-09 10:34:00+00:00,15.65,2
2021-06-09_13,55.9247,29.70184,2021-06-09 10:35:00+00:00,9.09,2
2021-06-09_14,58.68291,36.19884,2021-06-09 10:36:00+00:00,8.4,2
2021-06-09_15,36.39059,4.25842,2021-06-09 12:12:00+00:00,21.14,2
2021-06-09_16,40.80517,-7.03059,2021-06-09 12:14:00+00:00,29.11,14
2021-06-09_17,51.51392,4.18961,2021-06-09 12:16:00+00:00,10.63,3
2021-06-09_18,59.99987,11.03252,2021-06-09 12:18:00+00:00,43.46,2
2021-06-09_19,62.2653,29.0158,2021-06-09 12:18:00+00:00,9.84,2
2021-06-09_2,39.48455,47.24019,2021-06-09 08:50:00+00:00,5.4,14
2021-06-09_20,41.74136,-8.69339,2021-06-09 13:54:00+00:00,15.3,2
2021-06-09_21,53.57402,-0.61643,2021-06-09 13:06:00+00:00,11.62,2
2021-06-09_22,37.06595,39.14497,2021-06-09 09:39:00+00:00,14.5,7
2021-06-09_23,36.80328,38.97749,2021-06-09 09:39:00+00:00,12.29,5
2021-06-09_24,45.47517,38.8016,2021-06-09 09:41:00+00:00,6.54,2
2021-06-09_25,53.30501,45.67657,2021-06-09 09:43:00+00:00,7.94,2
2021-06-09_26,35.86182,37.12348,2021-06-09 11:19:00+00:00,8.44,3
2021-06-09_27,36.17009,36.91113,2021-06-09 11:19:00+00:00,11.77,2
2021-06-09_28,36.68833,39.15233,2021-06-09 11:20:00+00:00,9.06,2
2021-06-09_29,36.97245,39.12688,2021-06-09 11:20:00+00:00,20.42,4
2021-06-09_3,59.18562,48.25003,2021-06-09 08:04:00+00:00,10.23,2
2021-06-09_30,37.14629,41.6507,2021-06-09 11:20:00+00:00,20.41,3
2021-06-09_31,37.26701,35.62866,2021-06-09 11:20:00+00:00,6.89,2
2021-06-09_32,39.36299,8.85065,2021-06-09 11:22:00+00:00,5.9,3
2021-06-09_33,45.19802,12.02767,2021-06-09 11:23:00+00:00,16.45,2
2021-06-09_34,54.99173,27.6695,2021-06-09 11:25:00+00:00,7.67,2
2021-06-09_4,36.56507,43.46614,2021-06-09 09:39:00+00:00,44.92,8
2021-06-09_5,36.94085,43.25881,2021-06-09 09:39:00+00:00,11.57,17
2021-06-09_6,37.13653,44.05797,2021-06-09 09:39:00+00:00,8.37,2
2021-06-09_7,37.15042,44.14632,2021-06-09 09:39:00+00:00,19.49,7
2021-06-09_8,37.17028,43.98272,2021-06-09 09:39:00+00:00,9.67,5
2021-06-09_9,37.24607,42.99885,2021-06-09 09:39:00+00:00,6.67,2
2021-06-10_0,54.68158,47.97939,2021-06-10 08:35:00+00:00,6.79,2
2021-06-10_1,59.67665,43.48589,2021-06-10 08:37:00+00:00,5.21,2
2021-06-10_10,37.16883,43.96709,2021-06-10 09:20:00+00:00,5.58,2
2021-06-10_11,39.21707,46.69192,2021-06-10 09:20:00+00:00,8.12,14
2021-06-10_12,44.77929,39.26203,2021-06-10 09:22:00+00:00,5.33,3
2021-06-10_13,66.14518,26.58218,2021-06-10 10:19:00+00:00,6.37,4
2021-06-10_14,68.07568,28.05346,2021-06-10 09:29:00+00:00,6.41,4
2021-06-10_15,67.14155,21.69598,2021-06-10 10:20:00+00:00,8.22,7
2021-06-10_16,37.26186,14.86736,2021-06-10 11:52:00+00:00,26.27,2
